1;Aceh;RSU Dr Zainoel Abidin;Jl Tengku Daud Beureueh No.108, Banda Aceh;(0651) 22077, 28148
2;Aceh;RSU Cut Meutia;Jl Banda Aceh-Medan Km 6 Buket Rata, Lhokseumawe;(0645) 43012
3;Sumatra Utara;RSU H Adam Malik;Jl Bunga Lau No 17, Kota Medan;(061) 8360381
4;Sumatra Utara;RSU Kabanjahe;Jl KS Ketaren 8, Kabanjahe;(0628) 20550
5;Sumatra Utara;RSU Pematang Siantar;Jl Sutomo No 230, Pematang Siantar;(0634) 21780
6;Sumatra Utara;RSU Tarutung;Jl Bin Harun Said, Tarutung;(0633) 21303
7;Sumatra Utara;RSU Padang Sidempuan;Jl Dr FL Tobing, Padang Sidempuan;(0634) 21780
8;Sumatra Barat;RSU Dr M Jamil;Jl Perintis Kemerdekaan, Padang;(0751) 32372
9;Sumatra Barat;RSUD Dr Achmad Mochtar;Jl Dr A Rivai, Bukittinggi;(0752) 21720
10;Riau;RSU Arifin Ahmad;Jl Diponegoro No 2, Pekanbaru;
11;Riau;RSU Kabupaten Karimun;Jl Poros No 1, Tanjung Balai Karimun;Fax: (0777) 29611
12;Riau;RSU Tanjung Pinang;Jl Sudirman No 795, Tanjung Pinang;(0771) 21163
13;Riau;RSU Puri Husada;Jl Veteran No 52, Hilir Tembilahan;
14;Riau;RSU Dumai ;Jl Tanjung Jati No 4, Dumai;(0762) 38368
15;Kepulauan Riau;RS Otorita Batam;Jl Dr Ciptomangunkusumo, Sekupang, Batam;
16;Jambi;RSU Raden Mattaher;Jl Letjen Soeprapto No 31 Telanaipura, Jambi;(0741) 61692
17;Sumatra Selatan;RSU Dr M Hoesin;Jl Jenderal Sudirman, Palembang;
18;Sumatra Selatan;RSU Lubuk Linggau;Jl Yos Sudarso, Lubuk Linggau;(0733) 321013
19;Sumatra Selatan;RSU Kayu Agung ;Jl Raya Lintas Timur, Kota Kayu Agung;(0712) 323889
20;Sumatra Selatan;RSUD Lahat;Jl Mayor Ruslan I No 28, Lahat;(0731) 321785
21;Kepulauan Bangka Belitung;RSU Tanjung Pandan;Jl Melati, Tanjung Pandan;(0719) 21071
22;Kepulauan Bangka Belitung;RSU Pangkal Pinang;Jl M Syafrie Rachman I;(0717) 421324
23;Bengkulu;RSU Dr M Yunus;Jl Bhayangkara Sidomulyo, Bengkulu;(0736) 52004/52008
24;Bengkulu;RSU Arga Makmur;Jl Siti Khadijah Arga Makmur, Bengkulu Utara;(0737) 521118
25;Bengkulu;RSU Manna;Jl Fatmawati Soekarno 31, Manna;(0739) 21118
26;Lampung;RSU Abdul Moeloek;Jl Dr Rivai No 6, Tanjung Karang, Bandar Lampung;
27;Lampung;RSU Kalianda;Jl Lettu Rohani No 14 B, Kalianda;(0727) 322160
28;Lampung;RSU Mayjen HM Ryacudu;Jl Jenderal Sudirman No 2, Kotabumi;(0724) 22095
29;Lampung;RSU Ahmad Yani;Jl Jenderal A Yani, Metro;(0725) 41820
30;Jakarta;RSPl Dr Sulianti Saroso;Jl Baru Sunter Permai Raya, Jakarta Utara;(021) 6506559
31;Jakarta;RSU Persahabatan;Jl Persahabatan Raya;
32;Jakarta;RSPAD Gatot Soebroto;Jl Dr A Rahman Saleh No 24, Jakarta Pusat;(021) 371008
33;Jawa Barat;RSU Dr Hasan Sadikin;Jl Pasteur No 38, Bandung;
34;Jawa Barat;RSU Dr Slamet  ;Jl Rumah Sakit No 10, Garut;(0262) 232720
35;Jawa Barat;RSU Gunung Jati;Jl Kesambi No 56 Cirebon;(0231) 206330
36;Jawa Barat;RSTP Dr HA Rotinsulu;Jl Bukit Jarian No 40, Bandung;(022) 231427
37;Jawa Barat;RSU R Syamsudin;Jl Rumah Sakit No 1, Kota Sukabumi;(0266) 225180
38;Jawa Barat;RSU Indramayu;Jl Rumah Sakit No 1, Indramayu;(0234) 272655
39;Jawa Barat;RSU Subang;Jl Brigjen Katamso No 37, Subang;(0260) 411421
40;Banten;RSU Serang;Jl Rumah Sakit No 1, Serang;
41;Banten;RSU Tangerang;Jl Ahmad Yani No 9 Tangerang;(021) 5523507
42;Jawa Tengah;RSU Dr Kariadi;Jl Dr Sutomo No 16, Semarang;(024) 8413993
43;Jawa Tengah;RSU Dr H Soewondo;Jl Laut 21, Kendal;
44;Jawa Tengah;RSU Dr. Moewardi;Jl Kolonel Sutarto 132, Surakarta;
45;Jawa Tengah;RSU Banyumas;Jl Rumah Sakit No 1, Banyumas;
46;Jawa Tengah;RSU Kudus;Jl Dr Lukmonohadi No 19, Kudus;(0291) 431831
47;Jawa Tengah;RSU Dr H RM Soeselo W;Jl Dr Sutomo No 63, Slawi;(0283) 491016
48;Jawa Tengah;RSU Pekalongan;Jl Veteran 31 Pekalongan;(0285) 421621
49;Jawa Tengah;RSU Tidar;Jl Tidar No 30 A, Magelang;(0293) 36226
50;Jawa Tengah;RSU Prof Dr Margono Soekarjo;Jl Dr Gumbreg No 1, Purwokerto;(0281) 632708
51;Jawa Tengah;RSU Dr Suraji Tirtonegoro;Jl Dr Soeradji T No 1, Klaten;(0272) 321041
52;Daerah Istimewa Yogyakarta;RSU Dr Sardjito;Jl Kesehatan 1 Sekip, Yogyakarta;
53;Daerah Istimewa Yogyakarta;RSU Panembahan Senopati, Bantul;Jl Dr Wahidin, Bantul;(0274) 367381
54;Jawa Timur;RSU Dr Soetomo;Jl Mayjen Prof Dr Moestopo No 6-8, Airlangga, Surabaya;(031) 5501078
55;Jawa Timur;RSU Dr Saiful Anwar;Jl Jaksa Agung Suprapto No 2, Malang;
56;Jawa Timur;RSU Dr Soebandi;Jl Dr Soebandi No 1 Jember;
57;Jawa Timur;RS Dr R Koesma;Jl Dr WS Husodo, Tuban;(0356) 321010
58;Jawa Timur;RS Dr S Djatikoesoemo;Jl Dr Wahidin 36, Bojonegoro;(0353) 881193
59;Jawa Timur;RS Pare;Jl Pahlawan Kusuma B I, Pare;(0354) 391718
60;Jawa Timur;RS Blambangan;Jl Istiqlah No 49, Banyuwangi;(0333) 421118
61;Jawa Timur;RS Dr Soedono;Jl Sumbawa No 6, Madiun;
62;Bali;RSU Sanglah;Jl Diponegoro, Denpasar;
63;Bali;RSU Tabanan;Jl Pahlawan No 14, Tabanan;(0361) 811027
64;Bali;RSU Sanjiwani;Jl Ciung Wenara No 2, Gianyar;(0361) 943020
65;Nusa Tenggara Barat;RSU Mataram;Jl Pejanggik 6, Mataram;
66;Nusa Tenggara Barat;RSU Raba;Jl Langsat No 1 Raba, Kabupaten Bima;(0374) 43142
67;Nusa Tenggara Barat;RSU Dr R Sudjono;Jl Prof M Yamin SH No 55, Selong;(0376) 21118
68;Nusa Tenggara Barat;RSU Praya;Jl Basuki Rahmat No 11, Praya;(0370) 654007
69;Nusa Tenggara Timur;RSU Prof Dr WZ Johanes;Jl Dr Moch Hatta No 19, Kupang;(0380) 832892
70;Nusa Tenggara Timur;RSU Dr TC Hillers;Jl Kesehatan, Maumere;(0382) 21617
71;Kalimantan Barat;RSU Dr. Sudarso;Jl Adi Sucipto, Pontianak;(0561) 7320
